직무ID,직무,회사,주요업무,자격요건,우대사항,혜택 및 복지,채용보상금
257107,재무 리더,패스트뷰,"['""우리와 함께 할 업무에요.""', '', '기업 재무 총괄 (회계 / 세무 / 자금)재무 계획 및 관리 (예산 수립 및 자금 흐름 관리, 전사 비용 분석 및 재무 성과 리뷰)', '내부 회계 관리 제도 수립', '월별 재무 분석(실적, 위험 등) 및 관리 보고', '재무 관련 위험 관리', '추정 재무제표 및 연결 재무제표 작성', '외부 감사 / 회계 감사 / 세무조사 수검', '신규 사업 예산 수립 및 관리']","['""이런 분과 함께 하고 싶어요.""', '', '재무경력 5년 이상이신 분', '기업재무 총괄할 수 있는 분', 'IR 및 투자자 응대할 수 있는 분']","['""이런 경험이 있으시면 더 좋아요.""', '', '스타트업 경험자 우대', '긍정적인 마인드', '책임감 있는 태도를 가지신 분', '원활한 커뮤니케이션 스킬을 보유하신 분', '빠른 추진력과 실행 능력을 가진 분', '팀 또는 부서 이상을 이끌어보신 분']","['""패스트뷰는 매년 트렌디한 인사제도와 혜택을 업데이트하고 있습니다.""', '', '1. 우리는 파격적으로 보상해요.', '공정하고 투명한 평가로 매월 KPI 달성에 따른 팀원들에게 상당한 인센티브를 지급해요.', '매월 팀별 우수평가사원 MVP를 선정해 상여금을 지급해요.', '개인의 빠른 역량 성장을 반영하여 6개월마다 연봉 인상을 검토하고, 업계 최고의 연봉으로 보상해요.', '성과에 기여한 개인의 헌신과 노력을 보상하기 위해 특별 스톡옵션을 제공해요.', '리더급들은 평가를 통해 급여 외에 특별 인센티브 수당을 지급해요.', '믿고 같이가는 지인 추천 인센티브로 500만원까지 지원해요.', '', '2. 우리는 균형있게 일해요.', '팀바이팀으로 유연/선택 근무제도를 시행하고 있어요.', '균형있는 삶을 위해 연차 외에 리프레시 휴가를 해마다 제공해요.', '1년 근무 : 유급휴가 1일', '2년 근무 : 유급휴가 2일', '3년 근무 : 유급휴가 3일 + 50만원', '4년 근무 : 유급휴가 4일', '5년 근무 : 유급휴가 5일 + 100만원', '각종 경조사비와 경조휴가를 든든하게 제공해요.', '이유불문 연차는 물론 반차, 반반차 등 자유롭게 사용이 가능해요.', '', '3. 우리는 일할맛나게 즐겁게 일해요.', '강남역 주변 다양한 맛집에서 할인을 받아요.', '회사와 제휴되어 있는 각종 운동, 여행/레저/숙박, 자기개발/취미, 생활 서비스를 즐길 수 있어요.', '내 생일만큼은 일찍(반반차) 나가서 오후부터 만끽할 수 있어요.', '명절 연휴 전 날에는 무조건 점심 먹고 바로 집에 가요.(홈커밍 티켓 일찍 예매하세요!)', '명절 선물로 연간 백화점 상품권 40만원을 지급해요.', '출산 시에는 다양한 축하 선물이 준비돼있어요.', '전사 공모전(네이밍 공모전, 로고 공모전, 퀴즈대회 등)을 개최해서 투표로 500만원 이상의 상금을 지급해요.', '매월 소정의 상품을 타갈 수 있는 사내 미니 이벤트도 있고, 분기마다 쏟아지는 선물과 함께 메이저 이벤트도 준비돼있어요.', '', '4. 우리는 최고의 대우를 해드려요.', '에스프레소 머신, 고급 원두, 편의점급 무료 스넥룸을 무제한으로 제공해요.', '(당 충전을 위해 과일컵, 라면, 컵밥, 과자, 음료, 아이스크림 등)', '묻지도 따지지도 않는 팀별 활동비 지급으로 팀원간 소통을 지향해요.', '(맛집탐방, 단체 마사지, 단체 관람 등)', '업무 필요에 따라 법인 스마트폰 및 통신비를 지원해요.', '자기계발 및 업무 관련 도서와 온라인 교육비를 지원해요.', '직무 관련 컨퍼런스와 외부 강의, 세미나 등 참여를 지원해요.', '청년중소기업 소득세 감면제도를 시행해요.', '청년내일채움공제를 지원해드리고 있어요.', '', '5. 우리는 일할맛나는 환경을 갖췄어요.', '강남역 4번 출구 도보 4초 거리의 패스트파이브 강남2호점에 두개층을 사용해요.', '카페같은 라운지, 소파 휴식 공간, 프라이빗한 폰부스, 다양한 회의실 등 사용 가능해요.', '직급을 간소화하고 “님”자 호칭 사용으로 수평적인 커뮤니케이션 문화를 운영해요.', '자유로운 근무 복장으로 편하게 일해요.']",100만원
254957,재무회계팀장 (10년 이상),매이드,"['결산/원가/세무/관리회계 등 회계업무 전반', '내부회계 관리 업무 및 계획 수립', '사업비 계획, 조달, 운용, 자금관리']","['4년제 대학 졸업자 (회계관련 전공자)', '10년 이상의 재무회계 관리 경험자', 'ERP 사용 능통자']","['스타트업 경험자', '영어 능통자']","['[출퇴근]', '자율 근무제', '[급여제도]', '퇴직금', '[근무 환경]', '휴게실, 회의실, 공기청정기, 카페테리아', '[선물]', '명절 상여금 / 생일선물 / 건강검진 제공', '[문화]', '수평적 조직문화, 회식강요 안함, 자유복장, 자유로운 연차사용, 닉네임 문화', '[교육/생활]', '신규 입사자 교육 (OJT), 직무능력향상교육,아침 점심 저녁 간식 제공, 점심시간 연장제도']",100만원
256495,재무회계 시니어(과장/차장),글로우서울(GlowSeoul),"['재무회계 전반 업무 (회계/자금/정산 관리) 및 재무제표 작성', '세무신고 및 납부 등의 세무관리 업무', '기업 예산 통제 및 관리(편성, 연간 예산계획 및 운영, 실적분석)', '프로젝트별 손익 및 수금/지급 등의 자금 관리', '재무 위험관리(거래처 리스크 점검, 여신 관리 등)', '정산관리 (거래처 매출관리, 정산, 프로세스 개선 등)', '내부 프로세스 관리']","['기업재무 및 자금관리 경력 보유', '직급 : 과장 ~ 차장']","['회계 관련 학위(상경계) 또는 자격증 보유자', '관련 학과/업종 경력자', '더존(Amaranth) 및 MS office 활용능력 우수자', '회계감사 및 세무조사 또는 IPO지정감사 대응 경험자', '리더십 경험(프로젝트 관리 경험)', '꼼꼼하고 책임감 있으며, 동료 및 이해 관계자들과 원만한 소통이 가능하신 분']","['글로우서울의 복지를 소개합니다.', '', '열심히 일한 자 떠나라! 매년 다같이 해외워크샵을 다녀와요!', '몸이 편해야 일도 쑥쑥! 글로우서울은 언제나 자율 복장!', '휴식의 사유는 필요치 않아요! 2시간 단위 연차 사용! (반반차)', '개인 텀블러를 드릴테니 사내카페에서 무한 카페인을 충전하세요!', '글로우서울 직원이라면 자사 브랜드 20% 할인은 기본!', '요즘 밥값이 금값... 점식 식대를 따로 드려요!', '회사내에 비치된 저렴한 스낵바는 덤!', '귀향길 허전하지 않도록 명절선물을 챙겨드려요!', '', '', '기타사항', '', '고용형태 : 3개월의 수습기간(계약직)을 거쳐 평가 후 정규직으로 전환될 수 있습니다.', '취업보호대상자는 (국가유공자 및 장애인 등) 입사 지원 시 증빙 서류를 첨부하는 경우,관계 법령에 (국가유공자 등 예우 및 지원에 관한 법률, 장애인 고용촉진 및 직업재활법) 따라 우대합니다.', '해당 채용은 수시채용 형식입니다. 모든 면접은 일대일, 혹은 다대일로 진행되며 시간은 최대 1시간 가량 소요됩니다.', '채용 과정에서 입사 지원 시, 기재된 내용이 사실과 다를 경우 입사가 취소될 수도 있습니다.']",100만원
257981,재무/회계 (3년 이상),스튜디오에피소드,"['손익 및 현금흐름 관리/운영', '- ERP(더존 위하고 등)를 활용한 자체 기장', '- 손익 분석 및 관리', '- 원천세, 부가세 신고 및 법인세 회계법인 협업', '- 매입/매출 세금계산서 발행 및 각종 세무 관련 이슈 대응', '내부 회계 관리 제도 구축/운영', '- 연간 예산 수립 및 지출관리', '- 지출관련안내 및 가이드 작성', '재무 회계 관련 경영지원', '- 주요 거래처 계약관리 및 커뮤니케이션', '- 운영 프로세스 효율화 및 비용 절감', '- 자금조달 및 투자활동을 위한 지원', '- 회계감사 또는 실사 대응']","['나이,성별,학력,국적 무관', '관련 경력 3년 이상', 'ERP(더존 위하고 등) 사용 및 구축 경험을 가지고 있고, 엑셀을 능숙하게 활용하실 수 있는 분', '다양한 이슈에 대하여 빠르게 문제를 정의하고, 효과적으로 해결하는 역량을 가지신 분', '논리적, 수리적 오류를 꼼꼼하게 분석할 수 있는 분', '꼼꼼하고 책임감 있게 일하며 원만한 소통이 가능한 분']",['스타트업 경험이 있으신 분'],"['에피소드 라이프', '매주 월요일은 늦잠 자고 오후 1시까지 출근해요!', '주 2회 재택근무 가능해요!', '반려동물과 함께 출근해요~', '호칭 고민 없이 닉네임으로 불러요.', '맥or 윈도우 고사양 PC 지원합니다.', '내맘대로 패션 존중해요', '', '에피소드 꿀복지', '연차 소진 후에도 무제한 휴가로 언제든 휴가 즐길 수 있어요!', '내맘대로 복지 설계 할 수 있는 ep.포인트카드가 있어요', '스트레스 해소할 수 있는 노래방, 플스가 있어요']",100만원
255534,[Dentlink] 재무담당자,이노바이드,"['회계/세무/자금', '월별, 분기별, 연간 손익 분석 및 회계 결산 리딩', '매출 관리 및 재무제표 작성 기반의 매출 흐름 관리', '법인세, 부가가치세 등 세무 신고 (세무 대리인과 협업)', '매출 및 매입 마감 관리 및 개선', '전사 자금 운용 방향성 수립 및 관리', '회계 및 세무 관련 이슈의 해결 및 제도 변화에 대한 대응', '', '기타', '투자자 실적 보고 자료 작성 및 주요 질의 대응', '회사 주요 의사결정을 지원하기 위한 재무 자료 작성 및 보고', '기업 성장 및 효율성 제고를 위한 재무/회계 관련 기타 업무 수행']","['회계, 재무 관련 경력 5년 이상', '재무제표 작성 및 분석, 결산 리딩 경험 필수', '국내외 세무 및 자금 관리에 대한 이해도', '회계 및 세무 관련 법규에 대한 실무 지식 보유', '투자자 보고 및 고위 경영진 대상 보고 자료 작성 경험']","['수출입 기업 또는 글로벌 비즈니스 환경에서의 근무 경험', '스타트업 또는 빠르게 성장하는 기업 환경에서의 재무 관리 경험', '세무 대리인 및 외부 감사 대응 경험', 'ERP(예: SAP, QuickBooks 등) 사용 경험', '회계 및 세무 관련 자격증 (예: CPA, AICPA, 세무사 등) 보유']","['유연 출/퇴근제 (오전 8~11시 사이 자유로운 출근)', '주 2회(수/금) 선택적 재택근무', '자유로운 휴가 사용', '연차/반차/반반차로 연차 세분화', '생일 및 건강 검진 반차 제공', '직무 관련 외부 교육 지원', '분기 별 자기 계발 지원', '도서구매 지원', '야간 교통비 지원', '야근식대 제공', '자유로운 복장', '정기적 문화 Day로 구성원들 간 친목 향', '중소기업 청년 소득세 감면제도 시행']",100만원
255774,재무/회계 담당자,누아,"['월별 재무제표 작성 및 월별 손익 분석', '여행업 거래 및 매출 세무/회계 정산 지원(항공/호텔 등)', '일반기업 회계기준 월 결산 업무 (더존 활용 자체 기장 중)', '부가가치세, 원천세 검토 및 세무대리인을 통한 법인세 세무조정', '투자사 재무관련 사항 보고 및 수시 대응', '회계감사(외부감사) 대응 및 회사 내 회계 이슈 전반 검토', 'Cash Flow 관리를 포함한 자금 전반 관리']",['재무/회계 업무 경험 3년 이상 또는 이에 상응하는 역량'],"['회계사, 세무사 또는 관련 자격증 보유', '스타트업 또는 IT 기업에서의 재무/회계 업무 경험', '항공/호텔 등 여행업 회계 및 정산 업무 경험자', '성실함, 꼼꼼함이 강점이신 분', '맡은 업무를 끈기있게 해내실 수 있는 분']","['업무용 최신 하드웨어 및 소프트웨어 제공', '업무 관련 서적 구입 지원', '무제한 간식, 커피 제공', '금요일 점심 식사 1시간 30분', '해외 박람회, 세미나 참석 기회 제공', '장기 근속자 대상 100만원 상당의 여행지원금 지급', '경조금, 생일, 명절 선물 지급', '자유로운 연차 사용', '중소기업소득세감면', '중소기업청년전세대출 지원 신청 가능']",100만원
255853,회계/재무 담당 (6년이상),크로커스,"['- 일일 자금일보 및 분반기 자금계획 작성 검토', '- 매입매출 전표회계처리 및 거래증빙 검토', '- 분기 회계결산 – 결산보고서, 재고수불부, 재무제표 작성 검토', '- 외부 회계감사 수감', '- ERP 신규 도입 진행', '- 내부회계관리규정, 회계업무처리규정, 기획예산규정 및 지침 작성 검토', '- 정기 투자자 보고 자료 작성']","['- 제품, 상품, 공사매출에 따른 원가분석 이해도가 좋으신 분(재고수불, 진행율 등)', '- 오피스 Tool 활용 능력이 좋으신 분', '- 성실하며, 의사소통에 적극적이 자유롭게 의견을 낼 수 있는 분', '- 긍정적인 마인드 보유자']","['- 상장사 근무 경력이 있으신 분', '- 스타트업의 주도적 역할 수행에 대한 경험 혹은 비전이 있으신 분']","['CROCUS는 구성원들께서 더 큰 성과를 내실 수 있도록 다음과 같은 사항을 지원합니다.', '효율적이고 생산적인 업무 환경 조성(8-10시 사이 출근 시간 조정 가능한 유연근무제 시행, 전동책상/거치대/모니터 등 구비)', '모티베이션 향상을 위한 성과 보상 패키지(성과 평가에 따른 성과급 지급, 명절 선물 지급, 경조사 지원)', '상호간의 존중이 있는 CROCUS Life와 자유로운 의견 교환을 독려하는 수평적인 조직 문화(직위와 별도로 ‘-님’ 호칭 사용)', '구성원들의 휴식과 창의력 증진을 독려하는 공간 지향(탁구대, 다트, 플레이스테이션 등 엔터테이먼트 시설 및 안마의자 등 휴게 시설 구비)', '도메인 지식 및 스킬 향상을 위한 교육 지원']",100만원
252235,[IPO Focusing] 재무회계/세무 실무자 (3년 이상),포지큐브(POSICUBE),"['JD :', '코스닥 IPO를 위한 재무회계/세무 전반적인 업무프로세스 진행,', '지정감사대응, IFRS전환, 내부회계관리제도구축', '월/분기/연마감, 예산관리,', '자금수지계획, 출납관리, 법인세세무조정 등 회계업무 전반']","['재무회계 또는 세무 관련 학사 학위를 소지하신 분', '관련 경력이 3년 이상인 분을 선호', 'K-IFRS 및 세무 관련 법규에 대한 이해가 필요', 'IPO 경험이 있으신 분이면 더욱 좋겠어요.', '엑셀 및 회계 소프트웨어에 능숙하신 분을 원해요.']","['이런 분이면 더 좋아요', 'CPA, CTA 등의 관련 자격증을 보유하신 분을 우대해요.', '더존 ERP 시스템 사용 경험이 있으신 분을 환영해요.', '팀워크와 커뮤니케이션 능력이 뛰어나신 분을 찾고 있어요.', '문제 해결 능력과 분석적 사고를 가지신 분을 선호해요.', 'IPO 과정에 대한 이해도가 높으신 분이면 좋겠어요.']","['[근무환경]', '근무형태 : 정규직 (수습기간 3개월)', '근무시간 : 주5일 (월~금)', '', '[혜택 및 복지]', '저녁에 업무가 잘되는 당신, 선택적 자율출퇴근제', '오늘은 혼자 있고 싶어요, 재택근무 가능', '몸이 건강해야 마음이 건강하다! 매년 제공되는 건강검진', '당신의 개성을 존중합니다. 개인별 맞춤 장비 제공', '먹고 일하는 직원이 행복하다! 화수분처럼 쏟아지는 간식bar', '합법적 비상금 충당 가능! 매월 초 식대 제공(비상금 충당 가능)', '서로 윈윈하자! 자기계발비, 교육훈련비, 도서지원', '스톡옵션, 퇴직연금, 성과급 제도 운영']",100만원
256551,재무 회계 담당자(Junior),람다256,"['[이런 일을 해요]', '일정/기안에 맞는 자금 집행', '법인 카드 포함 일반 비용의 적정성 검토 및 회계 처리', '매입/매출 세금계산서 발행 및 관리', '월, 분기, 연간 비용 및 매출 tracking', '그 외 전반적인 재무 관련 업무 지원']","['[우린 이런 팀원을 원해요]', '책임감을 가지고 맡은 업무를 주도적으로 처리할 수 있는 분', '새로운 업무에 대한 학습 능력이 뛰어난 분', '2년 이상의 기업 결산 실무 경험을 보유한 분', '협업 부서와 원활한 커뮤니케이션 능력을 갖춘 분', 'MS office, Google workspace 등 업무 툴 활용이 능숙한 분']","['[이런 경험이 있다면 좋아요]', '자금 업무 실무 경험', '회계 프로그램 및 ERP 기반 회계 업무 경험', 'IFRS기준 회계 결산 및 외부 감사 수감 경험', 'IT, 스타트업 근무 경험', '상경계열 전공 혹은 유관 교육 수료 경험', '외국어(영어)를 활용한 실무 경험']","['안정된 생활을 지원합니다.', '사옥 근무 중/석식 지원', '의료 실비/치과 손해 보험 지원 (직계존비속 포함)', '임직원 신용 대출 이자 지원', '통신비 지원', '각종 경조사 지원', '명절 선물', '', '성장을 위한 지원을 아끼지 않겠습니다.', '인센티브 제도', '역량 향상 교육 지원', '매월 업무 관련 도서구입비 제공', '', '최고의 근무환경을 제공합니다.', '개발 부서: 최신형 맥북 프로 및 4K 모니터 지급', '비개발 부서: 최신형 맥북 에어 및 4K 모니터 지급', 'DESKER 책상, Humanscale 의자', '웰컴 지원금', '편의점 급 간식 및 음료 제공', '', '최고의 복지는 휴가죠!', 'Refresh 휴가', '경조휴가 제도', '', '편하게 출퇴근하세요.', '8~11시 사이 자율 출근(시차출퇴근제)', '강남역 1분거리에 있는 근무지', '', '구성원 중심의 문화를 만들어 갑니다.', '영어 닉네임 사용', '자유로운 연차 사용', '인재 추천 보상금']",100만원
255993,재무회계 (Junior),위버스컴퍼니(WEVERSE COMPANY),"['회계 정보 수집 및 회계 처리 심사', '매출/매입/비용 등 회계 관리 담당 및 재무적 분석 자료 작성', '부가세 등 세무 신고 검토', '법인 결산 수행', '외부감사 수감', '종속기업 회계 관리 업무', '유/무형자산 등 결산 업무', '최신 회계 및 세무 관련 법률/법규/정책의 회사 정책 부합 여부 검토 및 의견 제시', '', '[주요 업무환경]', '결산 및 사업 일정에 따른 업무 집중 기간 존재']","['학사 이상', '최소 3년 이상~6년 이하 재무회계 업무 경험이 있는 분', 'K-IFRS 기준서 기반의 대형회계법인 외부감사 수검을 2회 이상 경험한 분', '부가세 및 원천세 신고 경험 있는 분', '', '[필요역량]', '문제해결을 위해 올바른 계산 방식 등을 선택할 수 있는 추론력', '수치화된 자료를 능숙하게 다룰 수 있는 수리감각', '정량/정성적 분석 능력에 기반한 데이터 중심적 사고', '새로운 기술과 트렌드에 대한 높은 관심과 빠른 학습 능력', '이해와 존중을 바탕으로 한 유연한 커뮤니케이션 능력', '높은 수준의 업무 디테일과 정확성', '', '[과제 및 테스트]', '해당 업무 관련 경력기술서 사전 제출 필수, 검토 결과에 따라 면접 진행 여부 결정 (자유양식)']","['회계 관련 전공', 'K-IFRS 관련 자격증 및 세무 실무 자격증을 보유한 분', 'SAP 사용 경험이 있는 분', '실무자로써 여러가지 프로젝트 업무를 수행한 경험을 보유한 분', '플랫폼, 온라인 커머스 업종의 회계 및 정산 업무에 대한 이해도가 있는 분', '영어나 일본어 커뮤니케이션에 원활한 분']","['1. 혜택 및 복지', '', '위버스컴퍼니는 구성원의 업무 몰입과 동기부여에 도움을 드리기 위해 다양한 복리후생을 제공하고 있으며, 더 좋은 근무환경을 만들기 위해 지속적으로 연구하고 있습니다.', '', 'Wellness', '[위버스컴퍼니는 구성원의 건강하고 안정적인 삶을 생각합니다.]', '', '- 대출이자 지원 : 연 최대 300만원, 신용대출(일반대출), 주택담보대출, 전세자금대출에 대한 이자 지원', '- 보육료 지원 : 정부 보육료의 50%를 어린이집에 추가 지원, 연 30만원 복지포인트 지급', '- 단체상해보험 및 치과보험 : 직원이 부담하는 비용 없이 가족 구성원까지 다양한 형태의 의료비 지원', '- 건강검진 : 매년 건강검진 제공하며, 짝수년도엔 가족 한 명도 추가로 지원', '- 개인운동 지원 : 월 10만원 한도내 운동비 지급', '- 심리상담 서비스 : 위로가 필요할 때면, 연 8회 무료 심리상담 서비스 제공', '', 'Enjoy', '[위버스컴퍼니는 구성원의 즐겁고 여유로운 삶을 생각합니다.]', '', '- 복지 포인트 : 일상생활에서 다양하게 사용 가능한 복지포인트 연 184만원 지급', '- 휴양시설 : 제휴되어 있는 리조트를 회원가로 이용 가능', '- 리프레시 휴가 : 3년 만근시 마다 10일의 휴가와 100만원의 휴가비 지급', '- 무제한 연차 휴가제 : 일수에 제한 없는 무제한 연차 휴가 사용 가능', '- 연차 사용 보너스 : 팀내 구성원이 법정연차를 15일 이상 소진 시, 연차 사용 보너스 50만원 지급', '- 경조사 : 기쁨과 슬픔을 함께 나누고자 경조금, 화환, 경조휴가 지원', '- 신규 입사자 환영 이벤트 : 소속감과 팀워크를 고취하기 위해 축하 이벤트 지원', '', 'Variety', '[위버스컴퍼니는 구성원의 업무에 필요한 다양한 지원을 아끼지 않습니다.]', '', '- 개인 업무 지원 : 업무를 수행하는 데에 있어 필요한 영역에 사용가능한 복지포인트 연 120만원 지급', '- 어학 지원 : 글로벌 역량 향상을 위해 어학교육 비용을 연 144만원 지원', '- 재택 업무 기기 지원 : 재택근무환경 향상을 위해 업무기기 구입 비용으로 50만원 지원', '- Global Experience : 신기술/트렌드 습득을 위한 해외 연수 참가 비용 지원', '- 자율 출퇴근 : 월 가능근무시간 내에서 자율적으로 출퇴근시간을 결정 가능', '- 야근/휴일 교통비 : 야근 퇴근시 혹은 불가피한 휴일 출근 시 교통비 지원', '- 식대 : 사옥 내 구내식당에서 중/석식 비용 일부 지원', '', '', '2. 기타사항', '', '- 모든 신규 입사자는 온보딩을 위한 Win Together Program(3개월)을 진행합니다.', '프로그램 기간 동안 급여 및 복리후생에 차등은 없습니다.', '최종 평가결과가 사내 기준에 부합하지 않을 경우, 채용이 취소될 수 있습니다.', '- 장애인 및 국가보훈대상자는 지원 시 관련법에 의거하여 우대합니다.', '- 제출자료와 채용 프로세스 전반에서 허위사실이 발견될 경우 채용이 취소됩니다.', '', '', '3. 채용 프로세스', '', '- 서류 전형 : 제출하신 지원서 및 서류를 각 실무 직책자/담당자가 검토합니다.', '- 과제 및 테스트 : 직무 특성에 따라 별도 과제, 경력기술서, 포트폴리오 제출 혹은 테스트를 진행합니다.', '- 실무 면접 : 실무 직책자와 해당 업무 수행에 필요한 역량, 경험, 스킬과 관련 인터뷰를 진행합니다.', '- 조직적합성 면접 : 하이브에서 일하는 방식과 지원자의 기대사항 간 부합여부를 피플과 상호 확인하는 인터뷰입니다.', '- 리더 면접 : 지원 조직의 담당 리더가 진행하며, 회사의 비전 공유와 종합적인 포지션 적합도를 확인합니다.', '- 처우협의/최종합격 : 서류와 면접전형에 합격하신 분들을 대상으로, 이후 처우와 입사일 등의 협의를 진행하여 채용을 확정하는 최종 단계입니다.', '', '국가별/법인별 Benefit은 차이가 있을 수 있으며, 세부 사항은 입사 시 상세 안내', '해당 채용은 수시채용 형식입니다. 모든 면접은 일대일, 혹은 다대일로 진행되며 시간은 최대 2시간 가량 소요됩니다.']",100만원
